"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"69.2","2025-04-09"," 9:35:00 AM","2025-04-09"," 9:36:00 AM","PE","22300","Buy","65","41.40","43.75","","152.75"
"70","2025-04-11"," 9:35:00 AM","2025-04-11"," 9:36:00 AM","","","","","","","19.97","308.75"
"70.1","2025-04-11"," 9:35:00 AM","2025-04-11"," 9:36:00 AM","CE","22900","Buy","65","199.45","200.00","","35.75"
"70.2","2025-04-11"," 9:35:00 AM","2025-04-11"," 9:36:00 AM","PE","22700","Buy","65","171.60","175.80","","273.00"
"71","2025-04-15"," 9:35:00 AM","2025-04-15"," 9:36:00 AM","","","","","","","17.14","-221.00"
"71.1","2025-04-15"," 9:35:00 AM","2025-04-15"," 9:36:00 AM","CE","23350","Buy","65","102.55","104.60","","133.25"
"71.2","2025-04-15"," 9:35:00 AM","2025-04-15"," 9:36:00 AM","PE","23150","Buy","65","86.70","81.25","","-354.25"
"72","2025-04-16"," 9:35:00 AM","2025-04-16"," 9:36:00 AM","","","","","","","15.21","104.00"
"72.1","2025-04-16"," 9:35:00 AM","2025-04-16"," 9:36:00 AM","CE","23450","Buy","65","22.95","23.40","","29.25"
"72.2","2025-04-16"," 9:35:00 AM","2025-04-16"," 9:36:00 AM","PE","23250","Buy","65","39.70","40.85","","74.75"
